File	Mito_nodes	Mito_neighbors
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.001_0.4_FDR_fg_trimcutoff_0.graphml	10	237
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.05_0.5_FDR_fg_trimcutoff_0.graphml	10	275
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.01_0.6_FDR_fg_trimcutoff_0.graphml	10	132
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.001_0.5_FDR_fg_trimcutoff_0.graphml	10	233
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.01_0.8_FDR_fg_trimcutoff_0.graphml	7	8
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.05_0.4_FDR_fg_trimcutoff_0.graphml	10	467
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.01_0.7_FDR_fg_trimcutoff_0.graphml	10	40
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.01_0.4_FDR_fg_trimcutoff_0.graphml	10	448
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.05_0.8_FDR_fg_trimcutoff_0.graphml	7	8
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.001_0.6_FDR_fg_trimcutoff_0.graphml	10	130
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.05_0.7_FDR_fg_trimcutoff_0.graphml	10	40
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.001_0.8_FDR_fg_trimcutoff_0.graphml	7	8
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.01_0.5_FDR_fg_trimcutoff_0.graphml	10	271
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.001_0.7_FDR_fg_trimcutoff_0.graphml	10	40
Comm_Cytoscape_network_Filtered_ERC_results_R2T_spearman_0.05_0.6_FDR_fg_trimcutoff_0.graphml	10	132
